Suffering Before Entering Glory,Penderitaan Sebelum Masuk ke Kemuliaan
Luke 24:1-53,Lukas 24:1-53
Introduction,Pendahuluan
"Today is the last Sunday of 2024, and fittingly, between Christmas and New Year, our passage from the last chapter of the Gospel of Luke is on our Lord’s resurrection and ascension. I will explain in a moment why I say “fittingly.”","Hari ini adalah Minggu terakhir tahun 2024, dan dengan tepat, di antara Natal dan Tahun Baru, perikop kita dari pasal terakhir Injil Lukas berbicara tentang kebangkitan dan kenaikan Tuhan kita. Saya akan menjelaskan sebentar lagi mengapa saya mengatakan ""dengan tepat."""
"But first, as disciples of Christ, we live our lives in what we call God’s history of redemption, which began right after the first Adam fell into sin and ends with the second coming of the second, or last, Adam.","Namun pertama-tama, sebagai murid Kristus, kita hidup dalam apa yang kita sebut sejarah penebusan Allah, yang dimulai segera setelah Adam pertama jatuh ke dalam dosa dan berakhir dengan kedatangan kedua Adam kedua, atau Adam terakhir."
"The history of redemption began when God declared war against Satan and its offspring, saying to the serpent in Gen 3:15, which we call the “first gospel” (proto-euanggelion), “I will put enmity between you and the woman, and between your offspring and her offspring; he shall bruise your head, and you shall bruise his heel.”","Sejarah penebusan dimulai ketika Allah menyatakan perang melawan Iblis dan keturunannya, dengan berkata kepada ular dalam Kej 3:15, yang kita sebut ""injil pertama"" (proto-euanggelion), ""Aku akan mengadakan permusuhan antara engkau dan perempuan ini, antara keturunanmu dan keturunannya; keturunannya akan meremukkan kepalamu, dan engkau akan meremukkan tumitnya."""
"As the history of redemption plays out, we have seen how the offspring of the woman came into the world at the first Christmas, then he bruised the serpent’s offspring on the first Good Friday and Resurrection Sunday.","Seiring sejarah penebusan berlangsung, kita telah melihat bagaimana keturunan perempuan itu datang ke dunia pada Natal pertama, lalu Ia meremukkan keturunan ular pada Jumat Agung dan Minggu Kebangkitan pertama."
"The entire history of redemption will come to completion when the woman’s offspring claims complete victory over the ancient serpent (the dragon), and the last enemy (death) is thrown into the lake of fire (Rev 20).","Seluruh sejarah penebusan akan mencapai penyelesaian ketika keturunan perempuan itu mengklaim kemenangan penuh atas ular tua (naga), dan musuh terakhir (maut) dilemparkan ke dalam lautan api (Why 20)."
"Yet, before that day, we live in the era between Jesus’ death, resurrection, and ascension on the one hand, and the complete eradication of Satan and death on the other. And in the same way, we are now done with Christmas celebration and ready to welcome 2025.","Namun, sebelum hari itu, kita hidup di era antara kematian, kebangkitan, dan kenaikan Yesus di satu sisi, dan penghancuran penuh Iblis dan kematian di sisi lain. Dengan cara yang sama, kita sekarang selesai merayakan Natal dan siap menyambut tahun 2025."
"That is why I said it is fitting, and we need the assurance and comfort from the truths of both the doctrines of resurrection and ascension. Let’s dig in.","Itulah sebabnya saya mengatakan ini tepat, dan kita membutuhkan keyakinan dan penghiburan dari kebenaran doktrin kebangkitan dan kenaikan. Mari kita selami lebih jauh."
,
